id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability,age,economic
17,4,1,6,16,32,2015,2,1974,1,0,4,4,0,2,63.0,162,120,2,3,3,1,2,4,2,2,5,5,,,,,36000.0,3,3,1,2,3,2,2,3,2,41,-0.13010001144543515
18,4,2,31,87,131,2015,2,1962,1,0,8,6,0,1,90.0,155,90,2,2,3,1,3,4,2,2,1,3,,,,,20000.0,1,3,1,2,3,2,1,4,2,53,-0.183316498880295
19,4,1,4,7,16,2015,1,1976,1,1,1,7,100000,1,77.0,170,135,5,5,5,4,3,3,3,4,6,1,2.0,17.0,1.0,2.0,200000.0,5,3,1,1,3,2,2,3,2,39,0.48881709182885213
20,5,1,4,7,22,2015,1,1965,1,1,1,4,100000,4,91.0,175,160,5,5,5,2,4,4,4,4,6,1,2.0,8.0,1.0,1.0,100000.0,4,3,2,1,3,2,1,3,2,50,0.15621404536097783
21,4,1,27,79,119,2015,1,1951,3,1,1,4,25000,1,71.0,165,130,2,2,3,2,3,4,1,2,3,5,,,,,80000.0,5,2,1,2,3,2,2,5,2,64,0.034607355766206195
22,5,2,9,21,43,2015,2,1948,1,1,1,1,2000,1,100.0,160,120,1,2,2,1,2,3,1,4,1,4,,,,,20000.0,6,3,1,1,3,3,3,4,2,67,-0.18184753673895557
23,4,1,21,62,98,2015,2,1980,1,1,1,3,5000,1,220.0,154,90,4,4,3,1,4,3,1,4,5,4,,,,,40000.0,5,2,1,2,3,2,2,4,3,35,-0.11312348423433817
24,4,1,19,57,92,2015,1,1942,1,1,1,6,48000,1,80.0,172,120,3,3,3,4,2,4,1,4,7,5,,,,,48000.0,1,3,0,2,3,1,1,3,-8,73,-0.054932554477143
25,4,1,12,32,58,2015,1,1956,1,1,1,6,-1,1,63.0,165,65,4,5,5,2,2,4,4,1,4,5,,,,,90000.0,3,3,1,2,3,2,2,4,-8,59,0.04950489916614632
26,4,1,26,76,116,2015,2,1970,1,1,1,4,20000,1,80.0,156,100,4,4,4,2,3,3,3,4,3,1,2.0,26.0,1.0,4.0,60000.0,2,2,1,2,3,2,2,3,2,45,-0.03558565888071733
27,5,1,17,48,80,2015,2,1966,1,1,1,4,19200,1,117.0,161,126,4,5,3,1,3,4,2,4,6,5,,,,,100000.0,1,3,2,2,3,2,2,4,2,49,0.0968679748508633
28,4,1,31,88,133,2015,2,1963,1,1,1,4,10000,1,79.0,158,140,3,3,3,2,3,3,1,4,5,5,,,,,20000.0,2,2,1,2,3,3,1,4,2,52,-0.1759716881745644
29,3,1,4,7,19,2015,1,1992,1,1,1,10,40000,2,140.0,183,135,4,4,3,1,4,4,4,2,4,1,5.0,4.0,2.0,2.0,40000.0,1,2,0,2,1,2,1,2,2,23,-0.08741664676089748
30,5,2,18,53,87,2015,1,1947,1,1,1,1,3000,1,80.0,168,110,2,2,3,1,4,4,1,4,4,3,,,,,40000.0,2,2,1,2,3,3,1,4,2,68,-0.11459244637567764
31,4,1,4,7,21,2015,1,1979,1,1,2,11,80000,1,57.0,171,146,4,4,3,2,2,3,3,4,6,1,3.0,17.0,1.0,3.0,170000.0,2,3,1,1,3,2,1,3,3,36,0.3743465564750952
32,4,1,27,80,120,2015,2,1965,1,1,1,4,20000,1,90.0,175,100,4,4,4,2,2,2,2,4,5,1,6.0,-2.0,1.0,2.0,40000.0,2,4,1,2,3,2,1,4,2,50,-0.10210626817235877
33,4,1,4,7,20,2015,1,1926,1,1,1,12,100000,1,70.0,170,120,2,2,2,2,1,5,1,4,10,5,,,,,150000.0,3,4,1,2,3,1,2,3,2,89,0.32251556859588165
34,4,1,16,46,77,2015,2,1987,1,1,1,4,150000,1,240.0,168,98,5,4,4,1,3,3,3,3,5,1,1.0,8.0,1.0,4.0,150000.0,2,2,0,2,3,2,1,3,2,28,0.359239622127435
35,4,2,9,21,43,2015,2,1937,1,0,3,1,660,4,40.0,150,80,2,3,3,1,2,3,1,4,4,4,,,,,10000.0,2,2,1,2,3,3,2,3,2,78,-0.2160920460214071
36,4,1,15,39,70,2015,1,1957,1,1,1,4,20000,1,25.0,172,150,4,3,3,1,3,4,1,4,2,1,4.0,35.0,1.0,3.0,30000.0,1,3,1,2,3,2,2,3,-8,58,-0.1353665728201129
37,4,1,5,8,23,2015,2,1969,1,-8,1,-8,60000,1,70.0,165,105,5,4,4,2,3,3,3,2,6,1,3.0,30.0,1.0,3.0,80000.0,2,4,1,2,3,2,2,4,2,46,0.060314193241580306
38,3,1,26,75,115,2015,1,1960,1,1,1,6,15600,1,24.2,173,135,4,4,4,2,3,3,2,2,4,1,4.0,30.0,1.0,3.0,15600.0,1,2,1,2,6,3,2,4,2,55,-0.18649312822340036
39,5,1,27,77,117,2015,2,1971,1,1,1,10,-3,1,180.0,160,120,4,5,5,5,4,4,3,4,8,5,,,,,-3.0,4,3,1,1,3,2,1,4,2,44,-0.24984928970847595
40,4,1,28,81,123,2015,2,1960,1,1,1,3,15000,1,180.0,160,105,5,4,4,5,2,4,4,4,4,1,3.0,15.0,1.0,3.0,35000.0,2,3,1,2,3,2,1,4,2,55,-0.12240882585006788
41,4,2,2,2,9,2015,2,1973,8,0,3,4,12000,1,300.0,169,120,4,3,3,1,3,3,3,4,6,1,8.0,26.0,1.0,4.0,35000.0,4,3,1,2,3,2,2,3,2,42,-0.12461226906207704
42,4,2,24,70,110,2015,1,1959,1,1,3,4,10000,1,15.0,160,122,3,3,3,1,3,3,2,4,4,3,,,,,10000.0,2,2,1,2,7,2,3,3,2,56,-0.2092319928213518
43,4,2,10,28,51,2015,2,1969,1,1,1,4,20000,1,90.0,162,115,3,3,4,1,4,5,1,4,4,2,,,,,30000.0,4,2,1,2,3,2,2,4,2,46,-0.1353665728210796
44,5,1,4,7,21,2015,2,1984,1,1,1,4,10000,1,56.0,159,115,3,5,5,2,1,5,1,1,5,1,3.0,4.0,1.0,3.0,20000.0,4,2,1,2,3,2,1,3,2,31,-0.1759716881745644
45,5,1,29,82,125,2015,2,1997,1,1,1,6,0,2,126.0,160,112,5,5,5,1,4,4,3,1,4,6,,,,,60000.0,4,3,1,1,1,2,2,2,-8,18,-0.0502752802931453
46,4,1,11,31,54,2015,2,1993,1,1,1,12,3000,2,200.0,167,120,4,3,3,2,3,3,4,3,3,6,,,,,70000.0,4,3,1,2,1,2,2,3,-8,22,-0.014811532434348667
47,4,2,17,50,83,2015,1,1993,1,1,1,4,55000,2,200.0,170,125,5,5,4,1,3,3,4,4,3,1,2.0,5.0,2.0,4.0,80000.0,3,2,1,2,1,3,1,2,2,22,0.05664178788629821
48,4,2,5,8,24,2015,2,1955,1,1,1,1,5000,1,65.0,160,125,4,4,4,1,4,4,2,4,5,2,,,,,10000.0,3,3,1,2,3,2,2,3,2,60,-0.21290439817373377
49,5,1,17,48,80,2015,1,1951,1,1,1,3,20000,1,97.0,175,125,5,5,5,1,2,3,3,4,4,1,3.0,16.0,1.0,3.0,110000.0,5,3,1,2,3,1,1,4,2,64,0.13071586435418656
50,3,1,15,39,70,2015,1,1961,1,1,1,4,15000,1,50.0,170,130,5,4,4,2,2,3,2,1,5,1,3.0,30.0,1.0,3.0,30000.0,2,3,1,2,3,2,2,3,3,54,-0.1390389781734616
51,4,1,12,32,56,2015,2,1933,1,1,1,1,48000,1,100.0,155,100,4,4,5,5,4,5,1,4,5,5,,,,,-2.0,2,3,10,2,7,3,1,4,2,82,-0.21458866884265204
52,5,1,10,24,46,2015,1,1984,1,1,3,4,30000,1,160.0,186,170,4,5,4,1,1,4,1,5,1,1,2.0,16.0,1.0,2.0,60000.0,3,3,1,2,3,2,2,4,2,31,-0.028240848173053286
53,5,1,4,7,20,2015,1,1997,1,1,1,6,0,2,60.0,170,120,4,4,4,2,4,5,5,-8,10,6,,,,,-2.0,3,5,-2,1,1,1,2,-8,-8,18,-0.2498437602328658
54,4,1,5,8,23,2015,1,1985,1,1,1,10,80000,1,90.0,180,150,4,5,5,2,2,3,3,4,5,1,3.0,5.0,1.0,2.0,100000.0,5,4,1,1,3,2,1,3,2,30,0.14152442394854983
55,4,1,31,89,134,2015,2,1944,1,1,1,4,12000,1,34.0,160,140,3,4,5,2,1,5,1,3,5,5,,,,,30000.0,2,3,1,2,3,3,1,-8,-8,71,-0.1412424213854708
56,4,1,5,11,27,2015,1,1950,1,0,1,4,30000,1,40.0,170,160,3,5,5,2,2,4,2,3,5,5,,,,,600000.0,2,3,1,2,3,2,2,5,1,65,1.7678156027534677
57,4,1,7,18,38,2015,2,1954,1,1,1,10,24000,4,57.0,160,130,4,4,4,2,1,4,2,3,6,5,,,,,63600.0,2,3,1,2,3,1,1,4,3,61,-0.020674024924228214
58,4,1,15,42,73,2015,2,1965,1,1,1,4,3600,1,100.0,158,125,4,5,5,1,5,5,1,2,6,2,,,,,75000.0,1,3,1,2,3,2,2,3,2,50,0.0022593085314468937
59,4,2,23,69,109,2015,2,1982,1,0,3,3,2500,1,333.0,157,130,2,3,3,1,1,4,2,3,3,3,,,,,5000.0,3,2,1,2,3,3,1,3,2,33,-0.23137075317476855
60,4,2,18,55,89,2015,1,1969,1,0,4,4,35000,4,120.0,175,175,5,5,5,1,4,3,3,2,5,2,,,,,50000.0,5,2,1,2,3,2,2,4,2,46,-0.05782874746745875
61,4,2,2,3,10,2015,1,1996,4,0,2,6,5000,4,300.0,180,120,5,5,5,6,2,2,2,4,5,1,3.0,3.0,1.0,3.0,1000000.0,3,4,30,1,1,2,2,4,2,19,3.079865761859189
62,4,2,21,64,102,2015,2,1954,1,0,9,3,0,1,234.0,156,130,2,3,4,1,2,3,1,3,5,4,,,,,100000.0,4,3,1,2,7,2,1,4,2,61,0.08276593829400442
63,3,1,13,36,67,2015,1,1960,1,1,1,8,5000,1,100.0,176,154,4,5,5,5,2,3,2,2,5,1,3.0,1.0,1.0,3.0,10000.0,3,2,1,1,3,2,2,5,2,55,-0.21290439817470047
64,4,1,4,7,16,2015,2,1945,4,0,4,6,38000,1,115.0,162,122,2,5,2,2,3,4,4,4,4,5,,,,,90000.0,2,3,2,2,3,2,2,3,2,70,0.07741591433266688
65,3,2,6,13,29,2015,1,1944,1,1,1,1,20000,1,180.0,168,118,3,3,3,1,2,3,1,3,4,3,,,,,20000.0,2,3,1,2,3,3,2,3,2,71,-0.1686268774669003
66,4,1,1,1,4,2015,2,1922,4,0,2,4,39600,1,79.0,150,85,1,1,3,2,1,3,1,4,4,5,,,,,150000.0,4,2,1,2,7,3,2,3,3,93,0.27815291192549635
67,1,2,31,87,132,2015,2,1943,1,1,1,3,10660,1,80.0,165,100,1,5,1,1,4,4,1,5,10,3,,,,,21320.0,2,3,1,2,3,2,2,5,2,72,-0.1710965704535797
68,4,1,12,32,57,2015,1,1983,1,1,1,6,0,1,110.0,178,120,3,4,4,5,3,3,3,4,4,1,2.0,13.0,1.0,2.0,0.0,4,3,1,2,3,3,2,3,2,32,-0.2498371081738699
69,4,2,9,21,43,2015,2,1962,1,1,1,4,20000,1,200.0,160,110,3,2,3,1,4,4,1,4,5,2,,,,,20000.0,1,1,1,2,7,2,3,5,2,53,-0.16862687746883376
70,4,2,29,83,126,2015,2,1996,1,0,1,12,0,2,120.0,158,140,4,5,4,1,3,2,2,4,4,6,,,,,20000.0,4,3,1,2,1,2,2,4,2,19,-0.183316498880295
71,4,2,18,52,86,2015,2,1968,1,1,1,1,0,1,200.0,158,124,5,5,5,1,2,3,2,2,5,4,,,,,50000.0,3,3,2,2,3,2,2,4,2,47,-0.08353558493993272
72,5,1,4,7,21,2015,1,1954,1,1,1,7,50000,1,64.0,169,130,3,4,5,2,2,3,1,1,4,5,,,,,80000.0,2,-8,1,2,3,2,1,-8,3,61,0.052969382523282434
73,5,1,1,1,6,2015,2,1947,1,1,1,10,44400,1,60.0,160,98,4,4,4,5,2,3,2,4,3,5,,,,,91200.0,1,3,1,2,3,2,2,4,2,68,0.08610782974256766
74,4,2,2,2,9,2015,2,1968,8,1,1,4,10000,-8,266.0,165,100,4,4,4,1,2,3,2,4,6,3,,,,,85000.0,4,3,2,1,3,2,1,3,2,47,0.040220292030520625
75,4,1,24,70,110,2015,1,1971,1,1,1,12,100000,1,100.0,170,150,5,5,5,4,3,4,4,4,6,1,3.0,21.0,1.0,2.0,250000.0,5,4,-3,1,3,2,2,4,2,44,0.655118615063756
76,3,1,6,12,28,2015,1,1968,1,1,1,4,-3,1,105.0,173,125,3,4,4,2,2,3,2,1,4,5,,,,,-3.0,3,2,1,2,3,3,2,4,3,47,-0.2498492897094426
77,5,2,19,57,93,2015,1,1968,1,1,1,3,200000,1,96.0,160,130,2,2,2,1,4,4,5,3,4,1,3.0,26.0,1.0,1.0,200000.0,3,3,1,2,3,2,2,5,2,47,0.5622651988958256
78,4,2,16,44,75,2015,1,1949,1,1,1,4,40000,2,60.0,168,140,4,4,4,4,2,3,3,4,4,5,,,,,40000.0,2,3,0,2,3,1,1,4,2,66,-0.08741664675993084
79,3,2,13,35,65,2015,1,1977,6,1,1,4,10000,1,128.0,160,130,4,3,3,1,3,4,1,2,3,2,,,,,20000.0,5,2,1,2,3,3,2,4,4,38,-0.1759716881745644
80,1,2,22,67,107,2015,1,1969,1,1,1,3,20000,1,85.0,173,126,3,3,2,1,3,3,1,4,4,3,,,,,20000.0,1,1,1,2,7,3,1,3,2,46,-0.16862687746883376
81,4,1,4,7,14,2015,1,1987,1,1,1,8,120000,1,57.0,170,135,4,4,5,1,2,4,2,2,6,1,3.0,10.0,1.0,2.0,120000.0,3,3,1,2,3,2,1,3,2,28,0.23742427606794733
82,4,2,6,17,33,2015,2,1947,1,1,1,3,2000,1,120.0,155,120,4,4,4,1,3,2,1,2,5,3,,,,,3000.0,1,3,1,2,7,2,2,4,2,68,-0.2383900546384942
83,3,1,31,86,129,2015,1,1974,1,1,1,4,1400,1,40.0,166,105,2,2,3,2,2,2,1,4,1,5,,,,,5000.0,3,1,0,2,3,3,1,4,3,41,-0.23217868235347197
84,4,1,16,46,77,2015,2,1992,1,1,1,10,30000,1,900.0,162,95,4,4,4,1,4,4,4,4,4,5,,,,,10000.0,4,3,2,2,1,2,1,3,-8,23,-0.19454237140699043
85,5,2,31,88,133,2015,1,1955,1,1,1,4,20000,4,40.0,164,110,4,4,3,1,2,4,4,3,7,2,,,,,40000.0,2,3,1,2,3,2,1,4,2,60,-0.10210626817332548
86,1,2,9,21,43,2015,2,1954,1,1,1,6,0,1,200.0,150,90,1,2,2,1,1,3,1,2,3,3,,,,,10000.0,2,1,1,2,3,3,3,-8,2,61,-0.21657680352901584
87,4,2,15,40,71,2015,1,1952,1,1,1,3,25000,1,200.0,168,125,3,5,4,4,4,4,1,3,5,5,,,,,60000.0,4,1,2,2,3,2,2,2,3,63,-0.03191325352833537
88,2,1,19,57,91,2015,1,1960,1,1,1,4,20000,1,38.0,170,115,4,5,5,5,2,4,2,3,2,5,,,,,50000.0,3,2,1,2,3,3,3,5,4,55,-0.06884596352750476
89,4,1,9,20,42,2015,1,1954,1,1,1,4,30000,1,208.0,165,130,4,5,5,1,2,3,2,4,5,1,1.0,42.0,1.0,1.0,60000.0,2,3,1,2,3,2,2,4,2,61,-0.028240848173053286
90,5,2,2,3,10,2015,2,1970,4,0,4,3,5000,1,150.0,150,130,2,3,5,1,2,2,1,4,4,4,,,,,12000.0,3,3,2,2,3,3,1,4,-8,45,-0.20625233724437628
91,4,2,29,84,127,2015,2,1977,1,1,1,4,0,1,20.0,155,110,3,5,3,1,3,1,2,4,5,2,,,,,15000.0,3,2,1,2,3,3,3,2,2,38,-0.19994665120465546
92,2,2,31,87,132,2015,2,1979,1,1,1,4,10000,1,50.0,164,98,1,2,3,1,3,1,1,2,3,3,,,,,10000.0,4,3,1,1,3,2,1,4,2,36,-0.2092319928203851
93,3,2,6,14,30,2015,1,1965,1,1,1,3,5000,1,100.0,168,130,2,3,3,1,2,3,1,4,4,2,,,,,5000.0,2,2,1,2,1,2,2,3,2,50,-0.22953455049809418
94,1,1,21,64,102,2015,1,1941,1,1,1,3,900,1,60.0,165,98,2,4,4,1,2,4,3,4,5,5,,,,,800.0,1,1,1,2,7,3,2,2,4,74,-0.2465152508404576
95,4,1,7,18,39,2015,1,1970,1,1,1,6,50000,4,67.0,183,160,5,5,5,2,1,3,2,4,5,1,3.0,30.0,1.0,3.0,80000.0,3,3,2,1,3,2,2,4,2,45,0.05296938253391625
96,3,2,9,20,42,2015,1,1963,1,1,1,3,8000,1,80.0,170,120,3,2,3,1,2,2,1,3,2,2,,,,,8000.0,2,1,1,2,1,3,2,4,2,52,-0.21735301589301548
97,3,1,8,19,41,2015,2,1980,4,0,9,3,0,1,200.0,152,117,1,2,1,1,3,2,1,2,5,1,2.0,10.0,1.0,4.0,80000.0,5,3,1,2,3,2,2,3,3,35,0.01624532900042957
98,4,1,23,69,109,2015,2,1987,1,1,1,4,60000,1,60.0,163,120,5,5,4,1,5,4,2,4,4,1,2.0,8.0,1.0,4.0,65000.0,3,2,1,2,3,2,1,2,3,28,0.010423736269465734
99,4,2,22,66,105,2015,1,1995,1,1,1,4,30000,1,90.0,172,105,4,5,5,1,2,3,1,2,5,1,3.0,3.0,1.0,3.0,30000.0,6,3,1,2,1,2,1,3,2,20,-0.12802176211341557
100,3,1,4,7,14,2015,1,1962,1,1,1,6,60000,1,58.0,175,130,4,5,5,2,5,4,1,2,1,1,3.0,36.0,1.0,2.0,80000.0,4,1,1,1,3,3,2,3,2,53,0.060314193238680175
101,4,2,24,72,112,2015,1,1951,1,1,4,3,1000,1,120.0,164,110,3,4,4,1,4,4,1,4,3,3,,,,,-2.0,1,3,2,2,3,2,2,4,-8,64,-0.24910927916412956
102,5,2,17,49,82,2015,2,1982,1,1,1,4,10000,1,306.0,156,110,5,5,5,1,4,4,4,4,7,2,,,,,30000.0,6,3,1,2,3,2,2,4,2,33,-0.14271138352681023
103,5,1,12,32,56,2015,2,1949,1,1,3,3,36000,1,55.0,160,134,4,5,5,5,4,5,1,3,5,5,,,,,150000.0,3,3,2,1,7,2,1,4,2,66,0.27550878007205204
104,4,1,18,54,88,2015,2,1952,1,1,1,3,0,1,200.0,159,120,2,2,3,2,4,2,2,4,5,6,,,,,20000.0,2,3,1,2,3,2,2,4,3,63,-0.183316498880295
105,4,1,22,65,103,2015,2,1975,1,1,3,4,3600,1,75.0,149,110,3,5,5,5,5,5,1,3,5,5,,,,,6000.0,3,2,1,2,3,2,1,4,3,40,-0.22723679353235304
106,4,1,12,32,60,2015,2,1978,1,1,1,4,15000,1,64.0,156,108,3,4,4,4,4,4,2,4,5,3,,,,,30000.0,3,3,2,2,3,2,1,3,2,37,-0.1390389781734616
107,3,1,26,76,116,2015,1,1995,1,1,1,12,0,1,60.0,168,104,4,4,3,2,3,3,2,3,4,1,-8.0,-1.0,-8.0,-8.0,50000.0,1,3,1,2,1,2,1,3,-8,20,-0.08353558493993272
108,3,1,13,36,67,2015,1,1988,6,1,1,12,30000,1,70.0,170,130,4,3,3,2,5,3,3,4,2,1,3.0,5.0,1.0,3.0,90000.0,3,2,1,2,3,3,2,4,3,27,0.0715400657663423
109,4,1,31,87,132,2015,2,1963,1,0,6,13,18000,1,63.0,165,150,4,5,3,2,2,3,1,4,1,1,5.0,5.0,-8.0,3.0,50000.0,2,2,2,2,3,2,2,4,2,52,-0.07031492566884422
110,4,2,21,64,101,2015,2,1966,1,1,1,3,10000,1,100.0,165,100,3,3,4,1,4,3,1,4,4,3,,,,,20000.0,3,2,1,2,3,3,2,4,2,49,-0.1759716881745644
111,4,1,6,17,33,2015,1,1962,1,0,-8,6,40000,1,108.0,167,160,3,4,5,2,3,2,2,4,5,1,1.0,20.0,1.0,1.0,60000.0,1,3,1,2,3,2,1,3,2,53,-0.02089603746635595
112,4,2,16,46,78,2015,2,1936,1,1,3,1,0,1,230.0,150,100,5,4,5,1,4,4,2,4,3,4,,,,,1000.0,1,1,1,2,3,3,2,4,-8,79,-0.24651107771112457
113,3,1,26,75,115,2015,1,1975,1,1,1,4,15000,1,50.0,160,100,5,5,3,2,2,5,1,3,1,1,3.0,20.0,1.0,3.0,15000.0,2,2,1,2,1,3,2,3,-8,40,-0.18892943514460947
114,4,2,22,66,106,2015,1,1978,1,1,1,9,80000,1,450.0,169,144,4,5,5,2,3,3,4,4,4,1,3.0,13.0,1.0,3.0,10000.0,5,3,1,2,3,2,1,3,2,37,-0.1578183178735037
115,4,1,21,64,101,2015,2,1965,1,1,1,4,8000,1,59.0,158,108,5,5,5,2,4,4,1,3,2,5,,,,,15000.0,2,2,1,2,3,3,1,3,3,50,-0.19407080263929757
116,3,2,24,72,112,2015,2,1963,1,1,3,1,6000,1,120.0,150,85,3,4,4,1,4,4,1,2,4,3,,,,,-2.0,2,3,1,2,3,2,2,3,2,52,-0.24543687381078091
117,4,1,28,81,121,2015,2,1965,1,1,1,4,10000,1,15.0,161,124,2,2,2,4,2,2,1,4,5,1,8.0,-2.0,1.0,4.0,25000.0,2,2,0,2,3,3,2,3,4,50,-0.15934153585117067
118,4,1,15,40,71,2015,1,1980,1,1,1,4,-1,1,85.0,172,152,5,5,3,1,2,3,2,2,2,1,2.0,10.0,1.0,4.0,100000.0,3,2,1,2,3,2,1,2,4,35,0.08276520381196704
119,3,1,1,1,2,2015,2,1948,1,1,1,6,33600,1,28.0,150,95,4,5,5,2,2,5,2,3,3,5,,,,,33600.0,1,2,1,2,7,3,2,3,3,67,-0.11340392058712774
120,3,2,29,83,126,2015,1,1973,1,1,2,3,3000,1,200.0,173,140,3,4,3,1,2,1,1,2,4,3,,,,,3000.0,3,2,1,2,3,2,2,4,2,42,-0.23765557356879116
121,4,2,9,20,42,2015,1,1954,1,1,1,4,25000,1,70.0,162,130,5,4,4,1,4,3,1,4,4,2,,,,,30000.0,1,3,1,2,7,2,2,4,2,61,-0.13169416746676424
122,4,1,15,43,74,2015,1,1971,1,1,1,12,50000,4,140.0,173,180,4,4,4,5,3,3,3,4,5,1,3.0,25.0,1.0,3.0,100000.0,2,3,2,1,3,2,3,4,3,44,0.1194899918274911
123,4,1,1,1,3,2015,2,1987,1,1,1,6,30000,1,35.7,160,170,4,4,5,2,3,3,2,4,3,1,3.0,4.0,1.0,3.0,74400.0,2,2,1,2,1,3,-8,3,2,28,0.019653990517353902
124,5,1,26,74,114,2015,1,1988,1,1,1,6,50000,2,200.0,173,130,4,4,5,1,4,4,4,3,2,1,2.0,10.0,1.0,4.0,60000.0,1,3,1,2,1,2,2,3,2,27,-0.013551226759658613
125,4,1,16,46,77,2015,1,1992,1,1,1,12,0,2,120.0,168,120,4,4,4,1,3,4,4,4,6,6,,,,,40000.0,3,3,1,2,1,2,2,3,-8,23,-0.11679588958672016
126,4,2,10,24,46,2015,2,1965,1,1,1,4,2000,1,66.0,160,132,4,4,4,1,2,3,1,3,6,3,,,,,50000.0,2,3,1,2,3,2,2,4,3,50,-0.08206662279859328
127,5,2,11,30,53,2015,2,1984,1,1,1,5,-3,1,200.0,160,110,4,4,5,1,3,3,3,4,4,5,,,,,-2.0,11,2,1,2,3,2,2,4,2,31,-0.24984596367897796
128,2,2,21,62,98,2015,2,1978,-8,1,1,3,24000,1,120.0,170,120,4,5,5,1,3,3,2,2,3,1,3.0,17.0,1.0,3.0,30000.0,3,3,1,2,6,3,2,3,2,37,-0.13242864853743397
129,5,1,1,1,8,2015,1,1956,1,1,3,9,93600,4,70.0,176,169,3,3,4,2,3,3,4,4,7,1,3.0,40.0,1.0,2.0,150000.0,2,4,4,2,3,2,2,4,2,59,0.31781488974359545
130,3,2,31,87,131,2015,2,1961,1,1,1,3,7000,1,70.0,160,130,4,4,4,1,4,4,1,1,3,3,,,,,30000.0,5,3,1,2,3,3,1,3,3,54,-0.14491482673881945
131,4,1,11,31,54,2015,1,1983,1,1,1,12,30000,1,150.0,178,145,4,3,4,1,2,3,2,3,3,1,3.0,7.0,1.0,3.0,50000.0,5,3,1,2,3,2,1,3,2,32,-0.06150115281984074
